label,alpha,beta
0,0.322,0.12
0,0.31,0.482
0,0.132,0.768
1,0.45,0.414
1,0.582,0.896
0,0.312,0.278
1,0.544,0.324
0,0.164,0.064
1,0.85,0.056
1,0.94,0.122
0,0.09,0.902
1,0.572,0.95
1,0.532,0.252
0,0.118,0.776
0,0.034,0.852
0,0.408,0.502
0,0.036,0.342
0,0.096,0.468
0,0.06,0.418
0,0.354,0.86
0,0.376,0.192
1,0.528,0.646
0,0.258,0.896
0,0.296,0.418
1,0.596,0.442
1,0.534,0.386
1,0.476,0.31
0,0.098,0.53
0,0.284,0.36
1,0.978,0.278
0,0.248,0.622
1,0.516,0.98
0,0.046,0.122
1,0.514,0.024
0,0.096,0.026
1,0.854,0.828
0,0.324,0.542
0,0.304,0.128
1,0.42,0.142
0,0.172,0.17
0,0.222,0.26
0,0.28,0.092
1,0.642,0.522
1,0.422,0.12
1,0.922,0.98
0,0.302,0.91
0,0.22,0.798
1,0.584,0.886
0,0.078,0.044
0,0.096,0.468
0,0.074,0.25
1,0.572,0.18
0,0.288,0.148
1,0.656,0.916
0,0.176,0.022
0,0.1,0.394
1,0.864,0.924
0,0.328,0.872
1,0.622,0.816
0,0.266,0.988
0,0.364,0.7
0,0.224,0.056
1,0.966,0.78
1,0.562,0.194
1,0.724,0.024
0,0.172,0.586
0,0.074,0.152
0,0.258,0.756
1,0.49,0.036
0,0.352,0.786
0,0.116,0.598
1,0.476,0.762
1,0.548,0.692
0,0.368,0.002
0,0.398,0.092
0,0.022,0.138
0,0.138,0.534
0,0.47,0.108
0,0.376,0.696
1,0.54,0.714
1,0.67,0.93
0,0.022,0.682
1,0.534,0.682
0,0.146,0.904
1,0.514,0.272
0,0.094,0.52
0,0.018,0.802
0,0.408,0.938
1,0.602,0.772
0,0.068,0.4
1,0.876,0.062
1,0.54,0.482
0,0.248,0.118
0,0.354,0.97
0,0.428,0.84
0,0.056,0.396
0,0.15,0.596
0,0.448,0.42
1,0.472,0.308
0,0.26,0.762
0,0.416,0.952
0,0.168,0.62
1,0.532,0.4
0,0.45,0.804
0,0.38,0.66
0,0.32,0.106
0,0.088,0.238
0,0.098,0.714
1,0.584,0.928
0,0.266,0.042
1,0.598,0.992
0,0.27,0.652
0,0.12,0.238
0,0.164,0.664
0,0.37,0.432
0,0.358,0.53
0,0.158,0.764
0,0.24,0.12
0,0.074,0.884
1,0.61,0.446
0,0.136,0.814
0,0.314,0.916
1,0.654,0.862
1,0.562,0.56
0,0.398,0.708
1,0.526,0.374
0,0.29,0.108
1,0.488,0.094
0,0.314,0.584
0,0.228,0.904
0,0.376,0.62
0,0.232,0.106
1,0.516,0.544
0,0.288,0.608
1,0.588,0.224
0,0.292,0.378
0,0.416,0.316
0,0.384,0.942
1,0.602,0.45
0,0.118,0.708
0,0.096,0.716
0,0.364,0.08
0,0.372,0.088
0,0.176,0.532
0,0.112,0.668
1,0.526,0.398
1,0.794,0.958
0,0.13,0.584
0,0.232,0.624
1,0.534,0.58
1,0.604,0.416
0,0.302,0.048
0,0.326,0.354
1,0.598,0.458
1,0.52,0.192
0,0.286,0.608
1,0.554,0.92
0,0.044,0.958
1,0.558,0.134
0,0.166,0.372
1,0.588,0.016
0,0.322,0.108
1,0.498,0.12
0,0.15,0.266
0,0.022,0.492
0,0.11,0.18
0,0.268,0.306
0,0.316,0.136
1,0.54,0.158
0,0.34,0.486
0,0.146,0.924
0,0.052,0.754
0,0.228,0.376
1,0.512,0.346
1,0.994,0.778
0,0.032,0.846
1,0.508,0.676
1,0.518,0.28
1,0.646,0.9
0,0.43,0.456
1,0.546,0.928
0,0.23,0.628
0,0.064,0.704
0,0.19,0.796
1,0.508,0.128
1,0.526,0.61
0,0.248,0.586
0,0.078,0.462
0,0.142,0.66
0,0.316,0.442
1,0.782,0.022
0,0.066,0.026
0,0.116,0.64
1,0.552,0.056
0,0.332,0.638
1,0.792,0.878
0,0.448,0.974
1,0.502,0.602
0,0.212,0.032
1,0.512,0.544
1,0.52,0.578
0,0.222,0.338
0,0.132,0.698
0,0.262,0.936
0,0.126,0.59
0,0.246,0.032
1,0.67,0.034
1,0.606,0.112
0,0.19,0.124
0,0.398,0.926
0,0.252,0.65
1,0.56,0.374
0,0.056,0.06
0,0.052,0.714
0,0.404,0.308
0,0.232,0.606
0,0.172,0.144
0,0.102,0.192
1,0.59,0.428
0,0.12,0.03
0,0.298,0.678
1,0.612,0.058
0,0.252,0.406
0,0.196,0.986
0,0.304,0.702
0,0.256,0.534
0,0.42,0.932
0,0.01,0.076
0,0.208,0.394
0,0.098,0.752
1,0.492,0.568
0,0.084,0.786
1,0.56,0.738
1,0.572,0.554
0,0.108,0.56
0,0.034,0.274
0,0.312,0.748
0,0.07,0.9
1,0.524,0.36
1,0.546,0.264
0,0.092,0.846
0,0.184,0.618
1,0.64,0.046
0,0.308,0.254
0,0.038,0.9
0,0.468,0.212
0,0.43,0.438
1,0.568,0.962
0,0.36,0.902
1,0.552,0.35
1,0.526,0.046
0,0.294,0.182
1,0.47,0.084
0,0.112,0.522
0,0.074,0.582
1,0.958,0.1
0,0.416,0.934
1,0.576,0.416
0,0.264,0.622
0,0.122,0.574
1,0.572,0.734
0,0.066,0.32
0,0.108,0.454
0,0.246,0.07
0,0.07,0.058
1,0.938,0.146
0,0.29,0.59
1,0.536,0.626
1,0.648,0.902
0,0.234,0.214
0,0.084,0.4
1,0.808,0.926
1,0.53,0.346
1,0.574,0.176
0,0.364,0.042
0,0.062,0.418
0,0.304,0.446
1,0.594,0.77
0,0.056,0.828
0,0.166,0.154
0,0.43,0.718
0,0.054,0.406
1,0.586,0.038
0,0.44,0.898
0,0.114,0.182
0,0.324,0.076
0,0.356,0.768
0,0.334,0.926
0,0.172,0.912
1,0.518,0.716
0,0.254,0.552
1,0.542,0.844
0,0.188,0.802
0,0.18,0.94
1,0.554,0.638
0,0.434,0.13
1,0.966,0.376
0,0.104,0.298
1,0.482,0.876
1,0.562,0.616
0,0.022,0.112
1,0.91,0.118
1,0.83,0.878
0,0.162,0.236
0,0.404,0.514
1,0.696,0.936
0,0.058,0.136
0,0.206,0.648
0,0.214,0.162
0,0.094,0.026
1,0.806,0.962
0,0.248,0.064
1,0.516,0.282
0,0.17,0.196
0,0.056,0.466
1,0.76,0.888
0,0.098,0.52
0,0.104,0.528
0,0.204,0.48
0,0.144,0.682
0,0.092,0.478
1,0.982,0.536
0,0.166,0.6
0,0.128,0.64
0,0.432,0.87
0,0.188,0.578
0,0.186,0.796
0,0.09,0.004
1,0.566,0.296
1,0.994,0.138
0,0.224,0.768
1,0.966,0.908
0,0.168,0.284
0,0.122,0.806
0,0.074,0.2
1,0.99,0.404
0,0.33,0.194
1,0.524,0.064
1,0.884,0.944
0,0.428,0.706
1,0.482,0.524
1,0.906,0.008
0,0.256,0.042
0,0.26,0.904
0,0.192,0.54
0,0.24,0.02
0,0.278,0.938
1,0.558,0.664
0,0.084,0.034
0,0.278,0.242
1,0.548,0.902
1,0.568,0.02
1,0.518,0.404
0,0.314,0.648
0,0.254,0.616
0,0.136,0.606
1,0.454,0.708
0,0.05,0.962
0,0.304,0.262
0,0.146,0.818
0,0.298,0.516
0,0.104,0.86
0,0.026,0.06
0,0.066,0.444
0,0.082,0.454
0,0.334,0.036
0,0.156,0.684
0,0.378,0.764
1,0.466,0.078
0,0.11,0.25
1,0.498,0.08
0,0.43,0.88
0,0.254,0.646
0,0.11,0.506
0,0.372,0.418
0,0.082,0.422
1,0.542,0.464
1,0.58,0.53
0,0.34,0.078
0,0.068,0.296
0,0.092,0.256
0,0.046,0.494
1,0.862,0.836
1,0.56,0.974
0,0.046,0.924
0,0.166,0.608
0,0.094,0.772
1,0.538,0.598
1,0.48,0.464
1,0.514,0.664
1,0.564,0.386
0,0.272,0.164
0,0.146,0.328
0,0.374,0.502
0,0.256,0.096
1,0.504,0.824
1,0.512,0.258
1,0.656,0.014
0,0.152,0.418
1,0.922,0.884
1,0.55,0.084
0,0.39,0.392
0,0.46,0.96
0,0.22,0.3
0,0.286,0.086
0,0.152,0.228
1,0.464,0.616
0,0.314,0.19
0,0.208,0.428
1,0.592,0.126
0,0.126,0.862
1,0.546,0.108
0,0.392,0.66
1,0.534,0.634
0,0.46,0.93
0,0.392,0.322
1,0.52,0.46
0,0.058,0.284
0,0.126,0.272
0,0.332,0.018
1,0.64,0.898
0,0.412,0.476
1,0.684,0.028
1,0.46,0.178
1,0.54,0.358
0,0.25,0.854
0,0.296,0.172
0,0.086,0.35
0,0.274,0.716
1,0.724,0.902
0,0.314,0.316
0,0.306,0.996
0,0.244,0.146
1,0.6,0.908
0,0.028,0.166
0,0.144,0.836
1,0.45,0.438
0,0.296,0.628
1,0.624,0.924
0,0.204,0.158
0,0.038,0.906
0,0.116,0.212
1,0.614,0.912
0,0.224,0.012
0,0.344,0.466
1,0.598,0.866
0,0.168,0.452
1,0.732,0.922
0,0.006,0.516
0,0.27,0.03
0,0.036,0.202
1,0.506,0.554
1,0.636,0.974
0,0.424,0.966
1,0.504,0.234
1,0.556,0.816
1,0.954,0.968
0,0.146,0.152
1,0.494,0.094
0,0.214,0.778
0,0.222,0.694
0,0.094,0.302
0,0.08,0.072
0,0.186,0.332
0,0.184,0.886
0,0.294,0.024
0,0.334,0.116
0,0.272,0.078
1,0.522,0.554
1,0.604,0.252
0,0.374,0.304
0,0.068,0.942
0,0.15,0.284
1,0.678,0.88
0,0.27,0.942
0,0.364,0.044
0,0.208,0.972
0,0.248,0.962
1,0.972,0.622
0,0.226,0.612
0,0.388,0.594
1,0.77,0.01
1,0.5,0.508
0,0.044,0.912
0,0.15,0.288
1,0.484,0.454
0,0.104,0.194
0,0.398,0.664
0,0.124,0.528
0,0.344,0.202
0,0.116,0.082
1,0.508,0.314
0,0.308,0.38
1,0.582,0.926
0,0.006,0.11
0,0.14,0.592
0,0.428,0.952
0,0.102,0.556
0,0.062,0.394
0,0.32,0.37
1,0.438,0.15
1,0.804,0.912
0,0.332,0.408
0,0.222,0.344
0,0.176,0.15
0,0.236,0.342
0,0.036,0.308
1,0.498,0.02
0,0.072,0.666
1,0.468,0.206
1,0.642,0.782
0,0.1,0.13
0,0.506,0.918
1,0.488,0.79
1,0.614,0
0,0.012,0.614
0,0.456,0.88
0,0.304,0.592
0,0.094,0.884
1,0.552,0.622
1,0.568,0.708
0,0.06,0.614
1,0.522,0.864
0,0.124,0.306
0,0.432,0.894
1,0.478,0.074
0,0.36,0.646
0,0.156,0.528
0,0.202,0.894
1,0.546,0.964
1,0.538,0.21
0,0.122,0.254
0,0.324,0.594
0,0.386,0.642
1,0.63,0.978
0,0.278,0.898
1,0.552,0.89
0,0.074,0.498
0,0.294,0.304
0,0.066,0.332
0,0.046,0.578
0,0.23,0.708
1,0.54,0.012
1,0.502,0.802
0,0.252,0.334
1,0.522,0.202
0,0.354,0.736
0,0.246,0.198
0,0.3,0.334
0,0.164,0.968
0,0.13,0.69
1,0.504,0.02
0,0.102,0.588
1,0.572,0.574
1,0.982,0.062
0,0.286,0.318
0,0.412,0.274
1,0.496,0.608
0,0.07,0.632
0,0.274,0.594
1,0.53,0.976
1,0.566,0.422
0,0.194,0.284
0,0.116,0.58
0,0.44,0.934
0,0.154,0.506
0,0.164,0.148
0,0.436,0.938
0,0.12,0.152
1,0.596,0.83
0,0.184,0.566
0,0.432,0.52
0,0.26,0.644
1,0.598,0.16
1,0.488,0.362
0,0.108,0.264
0,0.05,0.522
0,0.314,0.904
1,0.664,0.918
0,0.41,0.954
0,0.164,0.55
0,0.248,0.866
0,0.346,0.69
1,0.814,0.934
0,0.048,0.088
1,0.544,0.87
0,0.12,0.298
1,0.588,0.918
1,0.604,0.074
0,0.07,0.852
0,0.426,0.878
1,0.578,0.56
0,0.252,0.136
0,0.26,0.606
0,0.02,0.48
1,0.498,0.51
1,0.552,0.332
0,0.098,0.046
0,0.442,0.934
0,0.278,0.65
1,0.566,0.712
1,0.922,0.964
0,0.072,0.384
1,0.504,0.356
0,0.18,0.978
0,0.364,0.496
0,0.204,0.532
0,0.284,0.026
0,0.332,0.926
1,0.77,0.978
0,0.212,0.538
0,0.29,0.524
0,0.22,0.066
1,0.518,0.714
1,0.562,0.936
0,0.31,0.616
0,0.15,0.328
0,0.078,0.874
1,0.624,0.928
1,0.506,0.502
1,0.564,0.182
0,0.024,0.644
0,0.04,0.066
0,0.182,0.684
0,0.316,0.916
0,0.106,0.36
1,0.574,0.13
0,0.4,0.608
0,0.09,0.534
0,0.24,0.448
1,0.53,0.894
0,0.074,0.064
0,0.046,0.036
1,0.486,0.518
0,0.08,0.07
0,0.286,0.524
0,0.132,0.906
1,0.998,0.03
0,0.18,0.92
0,0.066,0.234
0,0.196,0.59
1,0.502,0.034
1,0.952,0.098
0,0.348,0.294
0,0.042,0.05
1,0.528,0.038
0,0.172,0.466
0,0.32,0.138
0,0.052,0.45
1,0.714,0.946
0,0.24,0.572
0,0.326,0.374
0,0.232,0.286
1,0.416,0.036
0,0.328,0.772
0,0.114,0.338
1,0.564,0.72
0,0.086,0.452
0,0.27,0.58
0,0.04,0.944
0,0.244,0.866
0,0.332,0.03
1,0.58,0.97
0,0.174,0.066
0,0.078,0.416
0,0.096,0.91
0,0.372,0.524
0,0.184,0.886
1,0.578,0.764
0,0.226,0.622
1,0.938,0.038
1,0.512,0.398
0,0.382,0.586
0,0.324,0.59
1,0.46,0.054
1,0.656,0.562
0,0.054,0.742
0,0.24,0.122
0,0.29,0.154
0,0.062,0.83
0,0.014,0.106
0,0.174,0.016
0,0.198,0.914
0,0.116,0.684
0,0.222,0.604
0,0.082,0.52
0,0.192,0.148
0,0.288,0.142
0,0.446,0.838
1,0.582,0.278
0,0.258,0.774
1,0.732,0.008
0,0.316,0.828
1,0.944,0.494
1,0.612,0.72
0,0.084,0.42
1,0.522,0.702
1,0.838,0.918
0,0.124,0.546
0,0.116,0.048
1,0.818,0.036
0,0.124,0.774
0,0.134,0.614
0,0.114,0.338
0,0.342,0.076
0,0.076,0.23
1,0.506,0.5
1,0.584,0.616
1,0.854,0.9
1,0.62,0.1
0,0.172,0.892
0,0.112,0.544
1,0.796,0.938
0,0.11,0.948
1,0.958,0.11
1,0.512,0.146
0,0.136,0.154
0,0.05,0.626
0,0.316,0.94
0,0.198,0.208
0,0.22,0.666
0,0.368,0.962
0,0.198,0.512
0,0.404,0.87
0,0.39,0.734
1,0.526,0.432
0,0.304,0.868
0,0.16,0.086
0,0.378,0.532
0,0.136,0.9
1,0.546,0.764
0,0.082,0.622
0,0.034,0.422
0,0.358,0.204
0,0.24,0.814
0,0.226,0.586
0,0.014,0.422
0,0.088,0.898
0,0.328,0.556
0,0.1,0.098
0,0.386,0.252
0,0.374,0.894
0,0.44,0.63
0,0.036,0.482
1,0.754,0.882
0,0.026,0.188
0,0.216,0.576
0,0.024,0.124
1,0.498,0
0,0.054,0.454
0,0.302,0.592
0,0.096,0.41
0,0.474,0.864
1,0.97,0.944
0,0.116,0.316
0,0.07,0.028
1,0.768,0.928
0,0.33,0.048
0,0.27,0.076
0,0.13,0.868
0,0.208,0.212
0,0.346,0.068
1,0.536,0.44
0,0.28,0.364
0,0.058,0.47
0,0.036,0.404
1,0.93,0.922
0,0.36,0.508
0,0.3,0.804
1,0.576,0.446
0,0.386,0.756
1,0.534,0.032
1,0.684,0.928
0,0.144,0.874
0,0.158,0.25
0,0.14,0.564
0,0.146,0.58
0,0.176,0.314
0,0.136,0.132
0,0.27,0.852
0,0.094,0.746
0,0.09,0.214
0,0.164,0.496
0,0.212,0.306
1,0.494,0.29
0,0.202,0.872
0,0.22,0.036
0,0.404,0.49
0,0.28,0.14
1,0.486,0.424
0,0.38,0.742
0,0.258,0.324
0,0.05,0.502
0,0.054,0.4
0,0.144,0.882
0,0.358,0.454
1,0.584,0.902
1,0.964,0.138
1,0.53,0.256
0,0.074,0.9
0,0.356,0.586
1,0.61,0.964
0,0.28,0.322
1,0.658,0.738
0,0.08,0.462
0,0,0.662
0,0.21,0.08
0,0.374,0.13
0,0.136,0.936
0,0.054,0.514
1,0.58,0.452
0,0.024,0.54
0,0.262,0.528
1,0.544,0.044
0,0.292,0.314
0,0.23,0.614
0,0.224,0.326
1,0.56,0.258
1,0.53,0.916
0,0.274,0.934
1,0.786,0.922
1,0.546,0.252
0,0.056,0.568
0,0.42,0.406
0,0.044,0.02
1,0.606,0.808
0,0.006,0.388
0,0.296,0.096
0,0.126,0.27
0,0.138,0.1
1,0.866,0.848
1,0.492,0.06
1,0.702,0.004
1,0.524,0.42
1,0.56,0.452
0,0.422,0.866
1,0.446,0.542
1,0.522,0.324
0,0.276,0.104
0,0.174,0.268
1,0.544,0.642
0,0.2,0.872
1,0.52,0.756
1,0.978,0.122
0,0.25,0.066
0,0.074,0.072
0,0.292,0.602
0,0.034,0.848
0,0.012,0.274
0,0.264,0.632
0,0.126,0.552
1,0.57,0.956
1,0.468,0.706
0,0.32,0.154
1,0.53,0.986
0,0.128,0.028
1,0.498,0.324
0,0.27,0.622
0,0.22,0.894
1,0.534,0.1
0,0.112,0.9
0,0.186,0.324
0,0.112,0.866
0,0.19,0.352
0,0.11,0.408
1,0.554,0.31
0,0.048,0.616
0,0.064,0.374
0,0.272,0.47
0,0.376,0.534
0,0.06,0.716
1,0.596,0.782
0,0.148,0.586
0,0.112,0.55
0,0.182,0.782
0,0.224,0.93
0,0.366,0.124
0,0.214,0.792
0,0.28,0.354
0,0.122,0.592
1,0.502,0.642
