label,alpha,beta
0,0.176,0.18
1,0.816,0.806
1,0.84,0.822
0,0.168,0.166
1,0.838,0.804
0,0.118,0.154
0,0.154,0.17
1,0.856,0.824
0,0.118,0.164
0,0.168,0.168
0,0.148,0.188
0,0.18,0.164
1,0.868,0.85
0,0.17,0.136
0,0.134,0.166
0,0.116,0.162
0,0.166,0.158
1,0.792,0.816
0,0.202,0.148
0,0.146,0.162
0,0.168,0.2
0,0.148,0.208
1,0.828,0.84
1,0.81,0.802
0,0.178,0.198
0,0.116,0.138
1,0.808,0.82
0,0.176,0.15
0,0.144,0.154
0,0.156,0.206
0,0.174,0.154
0,0.206,0.11
0,0.172,0.122
0,0.194,0.106
0,0.172,0.148
0,0.158,0.174
0,0.15,0.15
0,0.156,0.216
0,0.144,0.134
0,0.196,0.142
0,0.15,0.166
0,0.142,0.18
1,0.822,0.85
0,0.124,0.172
0,0.168,0.126
1,0.834,0.804
0,0.11,0.176
0,0.152,0.198
1,0.84,0.834
0,0.136,0.154
0,0.158,0.158
0,0.146,0.176
0,0.17,0.156
1,0.86,0.788
1,0.84,0.822
0,0.18,0.162
0,0.176,0.158
1,0.832,0.81
1,0.858,0.804
0,0.156,0.12
0,0.12,0.17
0,0.15,0.142
0,0.132,0.15
0,0.184,0.15
0,0.192,0.132
0,0.16,0.17
1,0.85,0.822
1,0.87,0.812
0,0.156,0.168
0,0.16,0.152
1,0.812,0.798
0,0.108,0.172
1,0.848,0.818
0,0.144,0.168
1,0.838,0.838
1,0.854,0.89
1,0.842,0.84
1,0.856,0.83
0,0.102,0.172
0,0.112,0.176
0,0.178,0.164
1,0.808,0.848
0,0.186,0.176
1,0.844,0.824
0,0.19,0.186
0,0.188,0.136
1,0.81,0.776
1,0.824,0.8
1,0.836,0.814
1,0.822,0.826
1,0.824,0.818
0,0.148,0.176
1,0.878,0.818
0,0.164,0.114
0,0.192,0.126
0,0.208,0.148
0,0.14,0.136
0,0.146,0.17
0,0.15,0.154
1,0.864,0.832
0,0.164,0.228
1,0.816,0.838
0,0.14,0.184
0,0.14,0.21
0,0.202,0.162
0,0.156,0.138
0,0.184,0.116
0,0.176,0.17
0,0.132,0.18
0,0.18,0.164
0,0.176,0.126
0,0.142,0.154
0,0.176,0.21
1,0.836,0.85
0,0.124,0.174
1,0.794,0.824
0,0.176,0.202
0,0.176,0.192
1,0.84,0.78
0,0.168,0.152
0,0.186,0.178
0,0.21,0.144
0,0.198,0.164
0,0.216,0.158
0,0.146,0.178
1,0.836,0.848
1,0.872,0.8
1,0.88,0.856
0,0.136,0.184
1,0.806,0.848
1,0.804,0.804
1,0.812,0.826
0,0.16,0.166
0,0.166,0.164
1,0.824,0.8
0,0.144,0.156
0,0.22,0.168
0,0.146,0.176
0,0.15,0.188
1,0.844,0.772
0,0.17,0.13
0,0.222,0.176
0,0.176,0.186
0,0.158,0.146
0,0.18,0.18
1,0.834,0.838
1,0.85,0.856
0,0.12,0.17
1,0.832,0.796
0,0.218,0.142
0,0.178,0.166
0,0.178,0.136
1,0.842,0.8
0,0.164,0.146
1,0.852,0.782
0,0.144,0.228
1,0.83,0.82
0,0.18,0.16
1,0.822,0.806
0,0.164,0.18
0,0.204,0.166
0,0.11,0.204
0,0.124,0.166
0,0.148,0.154
0,0.162,0.132
0,0.144,0.18
0,0.188,0.142
1,0.806,0.842
0,0.108,0.164
0,0.13,0.148
0,0.192,0.182
0,0.16,0.172
1,0.814,0.808
0,0.12,0.218
0,0.126,0.154
0,0.226,0.222
0,0.176,0.198
0,0.128,0.184
0,0.172,0.128
0,0.192,0.146
0,0.128,0.136
0,0.152,0.2
0,0.158,0.154
1,0.816,0.822
0,0.172,0.144
1,0.814,0.858
0,0.13,0.214
0,0.156,0.172
0,0.168,0.146
0,0.126,0.208
1,0.84,0.86
1,0.818,0.81
0,0.216,0.176
0,0.19,0.146
1,0.806,0.83
0,0.228,0.174
0,0.126,0.182
0,0.172,0.202
0,0.172,0.168
0,0.154,0.152
0,0.146,0.16
1,0.842,0.832
0,0.14,0.122
1,0.828,0.792
0,0.144,0.148
0,0.138,0.178
0,0.112,0.13
1,0.834,0.848
0,0.19,0.146
1,0.844,0.82
0,0.154,0.184
0,0.214,0.198
1,0.818,0.796
0,0.158,0.128
1,0.814,0.812
0,0.176,0.184
0,0.174,0.238
0,0.164,0.156
1,0.822,0.818
0,0.138,0.152
1,0.828,0.894
1,0.87,0.85
0,0.198,0.206
1,0.812,0.836
0,0.126,0.13
0,0.098,0.2
0,0.15,0.214
0,0.136,0.176
0,0.134,0.182
0,0.184,0.148
0,0.13,0.156
1,0.836,0.826
0,0.108,0.174
0,0.2,0.154
0,0.186,0.204
0,0.168,0.138
1,0.84,0.802
1,0.782,0.826
0,0.194,0.158
1,0.798,0.872
0,0.114,0.194
1,0.788,0.872
1,0.842,0.816
0,0.16,0.158
0,0.198,0.146
0,0.16,0.148
0,0.156,0.184
0,0.182,0.152
0,0.162,0.142
0,0.164,0.166
1,0.842,0.796
0,0.168,0.132
0,0.142,0.18
0,0.116,0.206
0,0.13,0.168
0,0.154,0.17
0,0.16,0.166
0,0.154,0.13
1,0.872,0.848
1,0.834,0.796
0,0.17,0.17
1,0.806,0.838
1,0.806,0.826
1,0.83,0.836
1,0.806,0.86
0,0.158,0.194
1,0.86,0.848
0,0.116,0.15
0,0.112,0.222
1,0.816,0.834
1,0.814,0.816
1,0.8,0.858
0,0.188,0.096
1,0.868,0.796
1,0.86,0.862
0,0.112,0.188
1,0.84,0.838
0,0.14,0.18
1,0.85,0.794
1,0.834,0.86
0,0.156,0.218
0,0.168,0.158
0,0.154,0.188
1,0.82,0.85
0,0.152,0.102
1,0.782,0.828
1,0.824,0.82
0,0.156,0.148
1,0.804,0.846
0,0.178,0.208
0,0.188,0.138
0,0.166,0.198
0,0.12,0.126
0,0.088,0.158
0,0.172,0.168
0,0.174,0.192
1,0.82,0.88
0,0.198,0.214
0,0.204,0.182
1,0.814,0.82
0,0.14,0.166
0,0.15,0.162
0,0.136,0.14
1,0.848,0.806
0,0.174,0.146
0,0.12,0.174
0,0.132,0.172
0,0.12,0.122
1,0.87,0.818
0,0.164,0.176
0,0.104,0.2
1,0.816,0.84
0,0.192,0.146
0,0.11,0.184
1,0.782,0.806
0,0.13,0.126
1,0.798,0.866
0,0.1,0.208
1,0.79,0.836
0,0.174,0.14
1,0.788,0.834
0,0.128,0.132
0,0.14,0.21
0,0.152,0.188
0,0.146,0.194
1,0.792,0.85
