label,alpha,beta
0,0.402,0.504
0,0.778,0.266
1,0.232,0.73
1,0.62,0.668
1,0.088,0.466
1,0.622,0.562
0,0.484,0.252
0,0.878,0.464
0,0.414,0.308
0,0.526,0.212
1,0.082,0.372
0,0.822,0.33
0,0.456,0.322
0,0.804,0.33
0,0.932,0.436
1,0.098,0.428
0,0.838,0.252
0,0.886,0.422
0,0.564,0.206
0,0.506,0.276
1,0.412,0.702
1,0.648,0.63
1,0.25,0.742
0,0.768,0.27
1,0.142,0.616
0,0.776,0.238
0,0.386,0.364
1,0.656,0.592
1,0.102,0.354
1,0.242,0.656
1,0.076,0.31
0,0.904,0.426
1,0.118,0.422
0,0.454,0.26
0,0.906,0.424
0,0.428,0.284
1,0.068,0.436
0,0.856,0.308
1,0.216,0.67
0,0.436,0.304
1,0.282,0.732
0,0.402,0.44
1,0.084,0.342
0,0.38,0.476
0,0.562,0.192
0,0.766,0.278
1,0.566,0.67
0,0.628,0.18
1,0.174,0.642
1,0.524,0.656
0,0.89,0.402
0,0.556,0.2
1,0.612,0.664
1,0.17,0.572
0,0.82,0.332
1,0.09,0.502
1,0.668,0.516
0,0.842,0.298
0,0.406,0.46
0,0.666,0.182
0,0.786,0.258
0,0.444,0.28
1,0.5,0.696
1,0.07,0.434
0,0.756,0.2
0,0.778,0.226
0,0.386,0.438
0,0.464,0.26
1,0.656,0.554
1,0.192,0.634
1,0.644,0.586
0,0.574,0.212
1,0.316,0.698
1,0.704,0.512
0,0.552,0.21
1,0.266,0.758
1,0.39,0.73
0,0.42,0.386
0,0.874,0.402
1,0.496,0.692
1,0.594,0.636
0,0.636,0.168
0,0.944,0.414
1,0.464,0.71
0,0.388,0.408
1,0.068,0.36
1,0.404,0.74
0,0.47,0.356
0,0.516,0.212
0,0.898,0.396
1,0.626,0.64
1,0.716,0.38
0,0.738,0.248
0,0.716,0.176
0,0.672,0.242
1,0.186,0.632
0,0.388,0.448
0,0.602,0.214
0,0.85,0.36
0,0.61,0.174
0,0.406,0.406
1,0.074,0.412
1,0.282,0.716
0,0.834,0.33
0,0.572,0.176
1,0.558,0.7
1,0.122,0.622
1,0.218,0.676
1,0.668,0.552
0,0.846,0.466
1,0.114,0.398
1,0.082,0.426
1,0.466,0.718
1,0.66,0.54
0,0.406,0.408
0,0.848,0.356
0,0.568,0.21
1,0.32,0.724
1,0.672,0.56
0,0.358,0.388
0,0.436,0.35
0,0.584,0.216
0,0.352,0.454
0,0.44,0.512
1,0.052,0.434
0,0.872,0.456
1,0.28,0.696
1,0.67,0.454
0,0.476,0.306
0,0.434,0.39
1,0.126,0.61
0,0.374,0.372
1,0.114,0.42
1,0.602,0.614
1,0.084,0.596
0,0.642,0.182
1,0.668,0.42
1,0.624,0.664
0,0.682,0.214
1,0.54,0.678
0,0.388,0.46
1,0.086,0.354
1,0.094,0.462
1,0.316,0.676
0,0.828,0.406
1,0.336,0.736
1,0.046,0.39
1,0.064,0.446
0,0.898,0.48
1,0.66,0.408
0,0.414,0.408
1,0.682,0.422
1,0.636,0.552
1,0.552,0.684
0,0.462,0.268
1,0.256,0.706
0,0.858,0.378
1,0.062,0.5
1,0.156,0.614
1,0.704,0.42
0,0.75,0.214
0,0.442,0.266
0,0.45,0.286
0,0.432,0.47
0,0.412,0.392
0,0.86,0.332
0,0.454,0.406
1,0.65,0.568
1,0.294,0.674
0,0.388,0.418
0,0.814,0.31
1,0.692,0.482
0,0.766,0.262
0,0.384,0.492
1,0.612,0.62
1,0.084,0.342
1,0.126,0.64
1,0.142,0.68
1,0.244,0.706
0,0.826,0.342
1,0.13,0.492
0,0.868,0.412
0,0.388,0.334
1,0.096,0.578
0,0.792,0.214
1,0.102,0.464
0,0.402,0.412
0,0.406,0.488
0,0.79,0.314
0,0.508,0.2
0,0.634,0.186
1,0.24,0.72
1,0.66,0.536
0,0.598,0.194
0,0.488,0.25
0,0.442,0.364
1,0.096,0.342
1,0.644,0.57
0,0.596,0.244
0,0.404,0.378
0,0.904,0.422
1,0.464,0.698
1,0.356,0.744
0,0.778,0.338
0,0.47,0.26
0,0.688,0.258
1,0.672,0.6
1,0.072,0.292
0,0.364,0.422
1,0.626,0.588
1,0.674,0.43
1,0.604,0.634
1,0.186,0.666
1,0.598,0.694
1,0.364,0.74
1,0.09,0.484
1,0.066,0.568
1,0.058,0.3
0,0.87,0.32
1,0.174,0.616
0,0.43,0.388
0,0.832,0.326
1,0.594,0.68
1,0.658,0.582
1,0.592,0.648
0,0.72,0.23
0,0.408,0.398
1,0.574,0.672
0,0.834,0.272
0,0.47,0.23
1,0.122,0.504
1,0.688,0.504
1,0.276,0.732
1,0.038,0.284
0,0.412,0.428
0,0.538,0.192
0,0.426,0.33
1,0.602,0.622
1,0.32,0.724
0,0.766,0.25
1,0.236,0.74
1,0.102,0.498
0,0.642,0.19
1,0.07,0.434
1,0.136,0.43
1,0.642,0.59
0,0.466,0.258
0,0.79,0.268
1,0.64,0.576
0,0.932,0.478
1,0.126,0.586
0,0.416,0.35
1,0.408,0.734
0,0.858,0.364
1,0.412,0.692
1,0.65,0.49
0,0.594,0.242
0,0.902,0.464
1,0.426,0.718
1,0.184,0.678
0,0.462,0.266
0,0.684,0.244
1,0.068,0.354
1,0.398,0.754
0,0.85,0.396
0,0.402,0.394
1,0.662,0.452
0,0.502,0.204
0,0.84,0.498
0,0.802,0.338
0,0.542,0.232
0,0.426,0.36
0,0.366,0.528
0,0.446,0.366
1,0.096,0.428
1,0.246,0.668
1,0.358,0.678
1,0.268,0.718
0,0.432,0.338
1,0.252,0.702
1,0.662,0.462
1,0.092,0.574
1,0.304,0.702
0,0.87,0.438
1,0.686,0.426
1,0.66,0.516
0,0.876,0.504
0,0.514,0.206
0,0.392,0.48
0,0.654,0.222
1,0.212,0.704
1,0.37,0.714
0,0.586,0.17
0,0.376,0.452
1,0.686,0.404
1,0.682,0.434
1,0.682,0.446
1,0.334,0.7
0,0.742,0.234
1,0.19,0.68
1,0.466,0.688
1,0.676,0.558
1,0.394,0.712
1,0.24,0.698
1,0.658,0.604
1,0.144,0.542
1,0.28,0.714
0,0.4,0.474
0,0.91,0.38
0,0.436,0.302
1,0.618,0.562
1,0.106,0.38
1,0.264,0.694
1,0.322,0.716
1,0.648,0.6
1,0.6,0.646
0,0.896,0.514
1,0.158,0.65
1,0.684,0.444
1,0.672,0.61
0,0.616,0.198
1,0.064,0.446
0,0.516,0.212
0,0.458,0.276
1,0.69,0.442
1,0.13,0.61
0,0.84,0.36
1,0.644,0.516
1,0.27,0.726
1,0.714,0.468
0,0.788,0.34
0,0.444,0.292
0,0.466,0.35
0,0.474,0.276
0,0.554,0.182
1,0.612,0.604
1,0.58,0.622
0,0.432,0.436
1,0.432,0.736
1,0.302,0.696
0,0.422,0.34
1,0.072,0.308
0,0.908,0.394
0,0.892,0.504
1,0.094,0.398
0,0.508,0.254
1,0.27,0.696
0,0.82,0.37
0,0.394,0.468
1,0.046,0.44
0,0.414,0.314
1,0.444,0.74
1,0.686,0.5
0,0.84,0.414
0,0.444,0.318
1,0.088,0.312
0,0.476,0.268
1,0.414,0.686
0,0.816,0.338
1,0.278,0.706
1,0.07,0.368
1,0.256,0.694
0,0.422,0.364
1,0.088,0.5
0,0.874,0.464
1,0.072,0.506
0,0.528,0.242
1,0.588,0.664
0,0.382,0.466
0,0.368,0.51
1,0.132,0.594
0,0.568,0.162
1,0.078,0.488
1,0.078,0.402
0,0.48,0.274
1,0.134,0.522
1,0.094,0.242
0,0.39,0.446
1,0.208,0.688
1,0.184,0.724
1,0.088,0.368
1,0.656,0.57
0,0.74,0.208
0,0.868,0.494
1,0.346,0.714
0,0.354,0.496
1,0.684,0.51
0,0.404,0.31
1,0.05,0.316
0,0.722,0.226
0,0.452,0.362
0,0.438,0.308
0,0.42,0.316
0,0.76,0.23
1,0.448,0.71
1,0.668,0.524
0,0.678,0.22
1,0.532,0.7
1,0.104,0.5
0,0.756,0.238
1,0.08,0.528
0,0.736,0.21
1,0.698,0.456
0,0.87,0.414
1,0.478,0.71
0,0.57,0.174
1,0.406,0.666
1,0.116,0.562
0,0.376,0.476
0,0.402,0.452
0,0.846,0.332
0,0.766,0.242
0,0.418,0.39
0,0.708,0.208
0,0.4,0.418
1,0.686,0.438
1,0.232,0.654
1,0.572,0.646
1,0.34,0.712
1,0.678,0.524
0,0.882,0.466
1,0.054,0.29
0,0.626,0.212
0,0.862,0.374
0,0.86,0.374
0,0.53,0.186
1,0.696,0.49
1,0.646,0.59
1,0.126,0.57
1,0.058,0.338
1,0.128,0.558
0,0.402,0.444
1,0.27,0.672
1,0.1,0.474
0,0.45,0.362
0,0.72,0.178
0,0.85,0.438
1,0.316,0.718
0,0.914,0.536
0,0.8,0.31
1,0.2,0.702
1,0.584,0.666
0,0.446,0.236
1,0.078,0.292
0,0.354,0.448
1,0.63,0.576
1,0.108,0.448
1,0.152,0.634
0,0.402,0.474
1,0.43,0.704
0,0.85,0.474
0,0.688,0.232
1,0.69,0.434
1,0.108,0.578
1,0.088,0.346
0,0.924,0.5
1,0.69,0.43
0,0.912,0.452
0,0.912,0.484
1,0.092,0.482
0,0.422,0.296
0,0.36,0.49
1,0.086,0.402
0,0.87,0.38
0,0.382,0.468
0,0.454,0.248
0,0.52,0.21
1,0.418,0.75
0,0.84,0.382
1,0.086,0.352
0,0.83,0.406
0,0.486,0.226
0,0.738,0.254
1,0.188,0.636
0,0.882,0.49
0,0.804,0.27
0,0.46,0.292
0,0.71,0.232
1,0.284,0.678
0,0.82,0.35
1,0.698,0.46
1,0.544,0.646
1,0.146,0.57
0,0.464,0.258
1,0.094,0.5
0,0.82,0.338
1,0.342,0.726
0,0.826,0.288
1,0.196,0.632
1,0.06,0.476
1,0.114,0.548
1,0.112,0.398
1,0.102,0.308
0,0.352,0.488
0,0.77,0.242
0,0.848,0.476
1,0.688,0.508
0,0.558,0.188
1,0.654,0.444
1,0.656,0.544
0,0.722,0.208
0,0.616,0.164
0,0.586,0.192
0,0.51,0.216
0,0.838,0.386
0,0.776,0.218
1,0.336,0.686
1,0.634,0.526
1,0.488,0.68
1,0.144,0.52
1,0.122,0.604
1,0.668,0.374
1,0.372,0.744
0,0.53,0.21
0,0.85,0.47
1,0.442,0.716
0,0.378,0.448
1,0.72,0.41
1,0.074,0.316
0,0.896,0.422
1,0.19,0.614
1,0.114,0.52
1,0.678,0.514
1,0.088,0.512
1,0.656,0.514
1,0.216,0.652
0,0.84,0.314
0,0.742,0.214
0,0.42,0.434
0,0.884,0.394
1,0.312,0.714
1,0.102,0.386
0,0.562,0.196
1,0.14,0.638
1,0.646,0.388
1,0.142,0.554
0,0.882,0.408
0,0.844,0.336
1,0.488,0.7
0,0.826,0.31
1,0.14,0.608
0,0.694,0.206
1,0.434,0.68
0,0.448,0.364
0,0.818,0.376
0,0.366,0.496
0,0.382,0.482
0,0.636,0.206
0,0.894,0.496
1,0.114,0.424
1,0.09,0.4
1,0.06,0.306
1,0.666,0.518
0,0.76,0.32
1,0.498,0.714
1,0.168,0.638
0,0.424,0.354
0,0.732,0.222
1,0.684,0.506
0,0.536,0.208
1,0.692,0.438
0,0.67,0.212
0,0.894,0.458
0,0.544,0.21
1,0.116,0.518
1,0.252,0.702
1,0.104,0.532
0,0.756,0.216
0,0.604,0.184
1,0.636,0.588
1,0.658,0.592
0,0.674,0.236
0,0.838,0.336
1,0.628,0.586
1,0.49,0.706
1,0.158,0.526
0,0.872,0.466
1,0.116,0.53
0,0.418,0.392
1,0.656,0.61
1,0.094,0.394
0,0.38,0.382
1,0.108,0.398
1,0.108,0.44
0,0.572,0.206
0,0.856,0.43
0,0.434,0.286
0,0.366,0.492
1,0.082,0.266
1,0.166,0.548
1,0.23,0.708
1,0.078,0.424
1,0.076,0.396
1,0.678,0.546
1,0.228,0.706
1,0.574,0.662
1,0.428,0.706
1,0.55,0.702
0,0.748,0.282
0,0.548,0.194
1,0.118,0.568
0,0.922,0.438
1,0.666,0.526
