label,alpha,beta
1,0.242,0.51
1,0.242,0.608
0,0.484,0.512
0,0.444,0.5
0,0.498,0.466
1,0.74,0.544
1,0.418,0.754
1,0.63,0.698
1,0.69,0.636
1,0.258,0.59
1,0.512,0.24
1,0.446,0.252
1,0.262,0.516
0,0.51,0.522
0,0.486,0.496
1,0.752,0.496
1,0.306,0.368
1,0.682,0.326
1,0.73,0.542
0,0.482,0.516
0,0.472,0.536
1,0.476,0.708
1,0.734,0.37
0,0.464,0.496
1,0.734,0.498
1,0.244,0.524
1,0.386,0.742
0,0.524,0.502
1,0.608,0.774
1,0.404,0.272
1,0.664,0.706
1,0.676,0.668
1,0.494,0.272
1,0.532,0.782
1,0.272,0.42
1,0.67,0.66
1,0.652,0.654
0,0.44,0.51
1,0.314,0.342
0,0.532,0.528
1,0.602,0.7
1,0.654,0.698
1,0.344,0.326
1,0.334,0.32
1,0.286,0.63
0,0.462,0.47
1,0.522,0.764
1,0.27,0.528
1,0.282,0.392
1,0.704,0.61
1,0.584,0.31
1,0.418,0.262
0,0.462,0.526
0,0.488,0.532
1,0.746,0.43
1,0.394,0.3
1,0.758,0.492
0,0.472,0.492
1,0.248,0.54
0,0.516,0.464
1,0.352,0.59
1,0.436,0.222
1,0.466,0.242
1,0.34,0.342
1,0.4,0.306
1,0.756,0.464
1,0.294,0.63
1,0.416,0.284
1,0.574,0.274
1,0.648,0.32
1,0.592,0.29
1,0.742,0.51
0,0.498,0.488
1,0.308,0.416
1,0.71,0.586
1,0.326,0.61
1,0.448,0.252
1,0.454,0.232
1,0.286,0.576
1,0.334,0.324
1,0.35,0.358
1,0.342,0.33
0,0.486,0.476
0,0.518,0.522
0,0.476,0.482
1,0.446,0.244
1,0.292,0.63
1,0.724,0.58
1,0.58,0.276
0,0.498,0.522
0,0.45,0.518
1,0.364,0.652
0,0.508,0.508
1,0.726,0.61
1,0.572,0.73
1,0.614,0.726
0,0.504,0.52
0,0.514,0.53
1,0.442,0.224
0,0.512,0.508
1,0.71,0.538
1,0.652,0.652
1,0.318,0.69
0,0.498,0.522
1,0.306,0.356
1,0.75,0.468
1,0.748,0.578
1,0.366,0.284
0,0.502,0.456
1,0.424,0.28
0,0.498,0.518
0,0.48,0.51
0,0.478,0.534
1,0.27,0.594
1,0.34,0.384
0,0.52,0.508
0,0.5,0.476
1,0.572,0.332
1,0.272,0.388
1,0.696,0.68
0,0.474,0.482
1,0.224,0.42
1,0.712,0.58
1,0.526,0.776
1,0.332,0.354
1,0.418,0.236
0,0.528,0.522
0,0.492,0.512
1,0.436,0.73
1,0.66,0.356
1,0.698,0.508
1,0.242,0.512
1,0.68,0.35
0,0.48,0.546
0,0.452,0.514
1,0.712,0.594
1,0.298,0.628
1,0.484,0.754
1,0.342,0.688
1,0.428,0.304
1,0.482,0.708
1,0.616,0.264
0,0.518,0.484
1,0.496,0.254
1,0.636,0.262
1,0.332,0.346
1,0.414,0.216
1,0.296,0.362
1,0.512,0.75
1,0.746,0.54
0,0.494,0.482
0,0.486,0.472
0,0.46,0.51
1,0.718,0.588
1,0.464,0.734
0,0.462,0.488
1,0.556,0.748
1,0.484,0.748
0,0.5,0.5
1,0.254,0.48
0,0.472,0.512
0,0.51,0.458
1,0.238,0.53
1,0.586,0.764
1,0.752,0.486
1,0.712,0.512
1,0.424,0.274
0,0.498,0.52
0,0.466,0.504
1,0.642,0.3
0,0.48,0.53
1,0.384,0.718
0,0.492,0.524
1,0.304,0.6
1,0.608,0.294
1,0.746,0.564
1,0.318,0.626
1,0.698,0.328
1,0.288,0.544
1,0.266,0.426
1,0.414,0.248
1,0.25,0.436
1,0.42,0.732
0,0.49,0.478
1,0.574,0.29
1,0.634,0.69
1,0.66,0.692
1,0.746,0.442
1,0.246,0.476
1,0.77,0.468
1,0.448,0.278
1,0.664,0.676
0,0.51,0.488
1,0.268,0.44
1,0.286,0.372
1,0.78,0.468
0,0.468,0.52
1,0.294,0.57
1,0.736,0.418
1,0.422,0.736
1,0.6,0.29
1,0.666,0.634
0,0.496,0.472
1,0.576,0.234
0,0.502,0.516
0,0.472,0.536
1,0.268,0.396
0,0.464,0.548
0,0.492,0.494
1,0.466,0.292
0,0.514,0.532
1,0.332,0.322
1,0.318,0.35
1,0.652,0.658
1,0.434,0.296
1,0.506,0.716
1,0.28,0.566
1,0.444,0.274
1,0.656,0.32
1,0.364,0.302
0,0.524,0.534
1,0.3,0.4
1,0.56,0.738
1,0.28,0.622
1,0.666,0.292
0,0.486,0.492
1,0.408,0.268
1,0.308,0.636
1,0.744,0.498
1,0.682,0.316
1,0.482,0.766
1,0.616,0.73
1,0.382,0.714
1,0.248,0.504
1,0.43,0.714
0,0.492,0.466
0,0.48,0.51
1,0.744,0.45
1,0.738,0.43
0,0.502,0.516
1,0.708,0.576
1,0.714,0.56
1,0.342,0.708
1,0.57,0.728
0,0.47,0.502
1,0.322,0.66
1,0.746,0.436
0,0.49,0.498
0,0.464,0.492
1,0.36,0.738
0,0.556,0.508
1,0.59,0.286
1,0.33,0.728
1,0.284,0.412
0,0.486,0.486
