label,alpha,beta
0,0.664,0.33
0,0.662,0.398
1,0.428,0.666
0,0.834,0.112
0,0.636,0.306
1,0.192,0.08
0,0.346,0.27
0,0.682,0.302
1,0.576,0.326
1,0.118,0.424
0,0.702,0.3
0,0.66,0.33
0,0.676,0.306
0,0.846,0.118
1,0.632,0.51
0,0.61,0.322
0,0.31,0.65
0,0.764,0.14
0,0.622,0.34
1,0.208,0.11
0,0.428,0.282
1,0.122,0.156
0,0.126,0.14
0,0.63,0.274
0,0.726,0.346
1,0.192,0.152
0,0.826,0.138
0,0.646,0.294
0,0.148,0.476
0,0.632,0.328
1,0.088,0.794
1,0.228,0.132
0,0.634,0.288
1,0.214,0.124
0,0.62,0.658
1,0.192,0.116
0,0.668,0.294
0,0.662,0.37
0,0.866,0.138
0,0.714,0.276
0,0.374,0.676
1,0.476,0.652
1,0.508,0.838
0,0.346,0.302
0,0.702,0.29
0,0.388,0.268
0,0.846,0.156
0,0.664,0.29
0,0.316,0.354
1,0.36,0.526
0,0.128,0.126
0,0.386,0.682
0,0.35,0.608
0,0.69,0.38
0,0.714,0.31
1,0.108,0.376
0,0.364,0.248
0,0.62,0.628
0,0.268,0.398
0,0.616,0.32
0,0.676,0.322
0,0.606,0.318
0,0.302,0.648
0,0.656,0.3
1,0.458,0.88
0,0.33,0.648
0,0.628,0.342
0,0.854,0.116
0,0.372,0.352
0,0.682,0.37
0,0.658,0.306
0,0.6,0.332
1,0.166,0.14
1,0.492,0.318
1,0.68,0.394
0,0.624,0.7
0,0.606,0.366
0,0.798,0.142
1,0.504,0.338
0,0.66,0.31
0,0.632,0.332
1,0.248,0.138
1,0.674,0.59
0,0.692,0.344
0,0.306,0.318
0,0.796,0.144
0,0.662,0.368
0,0.098,0.482
0,0.686,0.308
1,0.102,0.802
0,0.612,0.304
0,0.686,0.618
0,0.354,0.334
1,0.244,0.124
0,0.68,0.304
1,0.51,0.85
1,0.494,0.854
0,0.644,0.336
0,0.63,0.358
0,0.634,0.362
1,0.14,0.162
0,0.818,0.1
0,0.666,0.292
0,0.612,0.306
0,0.34,0.648
1,0.514,0.906
1,0.16,0.782
0,0.638,0.346
1,0.494,0.862
1,0.346,0.466
0,0.372,0.668
1,0.202,0.14
0,0.14,0.138
0,0.642,0.332
1,0.53,0.846
0,0.634,0.346
0,0.316,0.252
0,0.798,0.16
1,0.234,0.116
0,0.682,0.294
0,0.344,0.368
0,0.83,0.096
0,0.678,0.266
1,0.456,0.65
0,0.106,0.12
0,0.7,0.344
0,0.434,0.338
0,0.718,0.336
1,0.438,0.324
0,0.498,0.106
0,0.6,0.332
1,0.494,0.858
1,0.38,0.556
0,0.652,0.308
1,0.09,0.402
1,0.66,0.362
1,0.588,0.672
0,0.66,0.304
0,0.694,0.704
1,0.622,0.628
1,0.144,0.79
1,0.502,0.85
0,0.312,0.662
1,0.246,0.138
0,0.66,0.318
0,0.838,0.142
1,0.17,0.772
0,0.654,0.354
0,0.332,0.688
0,0.628,0.286
0,0.676,0.336
0,0.376,0.634
0,0.602,0.368
0,0.824,0.146
1,0.584,0.344
0,0.168,0.134
1,0.52,0.83
0,0.652,0.306
0,0.642,0.314
0,0.36,0.338
0,0.688,0.356
1,0.152,0.146
1,0.5,0.852
0,0.624,0.324
0,0.138,0.154
0,0.184,0.14
0,0.652,0.316
0,0.802,0.122
1,0.138,0.804
0,0.602,0.29
0,0.132,0.15
0,0.694,0.366
1,0.242,0.108
0,0.722,0.306
0,0.8,0.116
1,0.142,0.774
0,0.402,0.288
1,0.204,0.156
0,0.372,0.294
1,0.058,0.446
0,0.588,0.33
0,0.28,0.31
0,0.676,0.306
1,0.498,0.868
0,0.67,0.286
0,0.656,0.29
0,0.346,0.666
0,0.654,0.252
0,0.788,0.112
0,0.318,0.664
0,0.656,0.29
1,0.466,0.134
0,0.588,0.35
0,0.34,0.264
0,0.66,0.318
1,0.164,0.766
1,0.388,0.506
0,0.632,0.288
1,0.49,0.904
0,0.678,0.358
0,0.688,0.284
1,0.194,0.15
0,0.634,0.352
0,0.146,0.84
1,0.102,0.778
0,0.498,0.096
0,0.368,0.334
1,0.092,0.414
0,0.11,0.144
0,0.66,0.36
0,0.666,0.306
0,0.664,0.38
1,0.152,0.774
0,0.158,0.162
0,0.658,0.304
0,0.61,0.34
1,0.502,0.838
0,0.66,0.326
0,0.156,0.112
0,0.56,0.622
0,0.644,0.308
0,0.772,0.164
1,0.438,0.316
1,0.122,0.43
0,0.136,0.85
1,0.684,0.382
1,0.082,0.45
0,0.316,0.318
0,0.804,0.132
1,0.35,0.442
1,0.462,0.876
0,0.136,0.872
1,0.502,0.84
0,0.608,0.264
0,0.128,0.126
1,0.516,0.882
0,0.554,0.328
0,0.408,0.28
1,0.248,0.096
0,0.704,0.26
1,0.494,0.858
1,0.114,0.8
0,0.614,0.376
1,0.216,0.108
1,0.364,0.52
0,0.668,0.286
0,0.18,0.838
0,0.114,0.832
0,0.38,0.324
0,0.698,0.344
0,0.184,0.84
