label,alpha,beta
0,0.726,0.554
1,0.55,0.234
0,0.33,0.334
0,0.7,0.336
0,0.7,0.622
1,0.418,0.592
1,0.388,0.486
1,0.376,0.8
1,0.544,0.892
1,0.58,0.378
0,0.38,0.682
0,0.514,0.272
0,0.86,0.586
1,0.484,0.85
1,0.426,0.362
1,0.542,0.35
1,0.386,0.588
1,0.496,0.374
0,0.734,0.438
1,0.542,0.596
1,0.588,0.61
1,0.478,0.332
1,0.42,0.622
0,0.288,0.388
0,0.758,0.392
0,0.372,0.714
0,0.5,0.506
0,0.532,0.098
1,0.578,0.772
1,0.372,0.818
0,0.866,0.532
1,0.348,0.252
1,0.412,0.778
1,0.506,0.76
0,0.736,0.544
0,0.816,0.488
1,0.4,0.818
1,0.412,0.798
0,0.39,0.712
0,0.244,0.394
1,0.532,0.788
1,0.56,0.854
0,0.686,0.626
1,0.556,0.76
1,0.516,0.338
0,0.796,0.484
1,0.53,0.752
1,0.38,0.412
1,0.574,0.586
0,0.148,0.256
1,0.466,0.634
1,0.366,0.494
1,0.374,0.522
1,0.582,0.602
0,0.738,0.366
0,0.718,0.542
0,0.246,0.412
0,0.238,0.364
0,0.698,0.608
0,0.534,0.75
0,0.238,0.468
1,0.392,0.56
1,0.618,0.398
1,0.62,0.408
0,0.428,0.302
1,0.518,0.772
1,0.524,0.75
1,0.43,0.19
0,0.682,0.31
1,0.544,0.89
0,0.498,0.5
0,0.69,0.598
0,0.34,0.288
1,0.602,0.534
1,0.496,0.794
1,0.538,0.63
1,0.388,0.46
1,0.618,0.466
0,0.244,0.488
1,0.556,0.776
1,0.376,0.794
1,0.61,0.772
1,0.622,0.532
0,0.458,0.692
0,0.824,0.562
0,0.532,0.494
1,0.416,0.82
0,0.712,0.53
1,0.53,0.622
1,0.446,0.194
0,0.46,0.824
0,0.524,0.518
0,0.784,0.488
0,0.306,0.368
0,0.626,0.258
0,0.802,0.466
0,0.148,0.274
1,0.574,0.612
1,0.55,0.778
0,0.51,0.474
0,0.202,0.4
1,0.554,0.766
0,0.384,0.722
1,0.528,0.862
1,0.42,0.192
1,0.458,0.602
1,0.37,0.836
0,0.326,0.334
1,0.638,0.458
1,0.494,0.79
1,0.364,0.526
1,0.564,0.754
1,0.594,0.6
0,0.508,0.502
1,0.488,0.382
0,0.198,0.402
0,0.162,0.344
1,0.46,0.198
1,0.364,0.228
1,0.494,0.796
1,0.374,0.474
1,0.506,0.788
1,0.534,0.762
1,0.652,0.496
1,0.528,0.372
1,0.568,0.614
0,0.744,0.374
1,0.546,0.222
0,0.194,0.35
1,0.522,0.804
1,0.558,0.778
0,0.506,0.134
1,0.552,0.892
1,0.368,0.23
1,0.536,0.912
1,0.518,0.766
1,0.388,0.832
1,0.632,0.42
1,0.548,0.218
0,0.58,0.306
1,0.392,0.21
0,0.748,0.434
1,0.524,0.886
1,0.598,0.494
0,0.86,0.56
0,0.714,0.56
1,0.392,0.79
1,0.61,0.398
1,0.38,0.502
1,0.608,0.526
1,0.512,0.236
1,0.38,0.81
0,0.768,0.434
0,0.684,0.6
1,0.394,0.434
1,0.572,0.79
0,0.676,0.658
1,0.54,0.786
1,0.38,0.468
1,0.538,0.778
1,0.464,0.364
0,0.578,0.294
1,0.374,0.418
1,0.564,0.762
1,0.584,0.244
0,0.206,0.428
0,0.764,0.406
1,0.542,0.77
1,0.54,0.802
0,0.546,0.302
1,0.594,0.352
1,0.546,0.228
0,0.686,0.322
1,0.522,0.752
0,0.18,0.282
1,0.462,0.61
1,0.522,0.616
1,0.548,0.23
0,0.51,0.476
0,0.19,0.408
0,0.248,0.466
0,0.658,0.262
1,0.55,0.774
1,0.658,0.45
0,0.328,0.354
1,0.482,0.946
0,0.722,0.558
0,0.778,0.432
0,0.83,0.512
0,0.352,0.282
1,0.382,0.804
1,0.43,0.388
1,0.508,0.634
0,0.39,0.704
0,0.724,0.336
1,0.508,0.632
1,0.634,0.488
1,0.474,0.24
0,0.236,0.482
0,0.48,0.688
0,0.696,0.374
1,0.362,0.828
0,0.478,0.284
1,0.382,0.434
1,0.528,0.822
0,0.868,0.578
0,0.276,0.406
1,0.538,0.77
0,0.254,0.522
0,0.256,0.464
1,0.626,0.43
1,0.606,0.594
1,0.568,0.352
0,0.39,0.308
1,0.492,0.826
0,0.244,0.414
0,0.65,0.272
1,0.37,0.482
1,0.382,0.518
1,0.472,0.95
0,0.772,0.426
0,0.384,0.282
1,0.488,0.826
1,0.624,0.45
1,0.526,0.372
0,0.382,0.29
0,0.756,0.388
0,0.492,0.512
0,0.15,0.216
0,0.778,0.392
0,0.768,0.404
1,0.602,0.486
0,0.662,0.664
0,0.512,0.484
1,0.564,0.778
1,0.372,0.818
0,0.206,0.438
1,0.398,0.472
1,0.346,0.512
0,0.44,0.684
0,0.51,0.488
0,0.8,0.514
1,0.628,0.498
0,0.238,0.476
1,0.568,0.366
0,0.42,0.268
1,0.58,0.374
1,0.364,0.51
1,0.616,0.508
0,0.86,0.572
1,0.624,0.742
1,0.544,0.372
1,0.398,0.392
1,0.62,0.614
0,0.402,0.724
1,0.6,0.368
0,0.2,0.36
0,0.784,0.486
0,0.49,0.498
0,0.386,0.284
0,0.78,0.452
1,0.63,0.382
0,0.28,0.534
0,0.762,0.41
0,0.662,0.322
1,0.374,0.55
0,0.674,0.324
1,0.596,0.774
1,0.608,0.764
0,0.264,0.478
1,0.546,0.792
1,0.608,0.546
1,0.384,0.526
0,0.402,0.692
1,0.39,0.43
1,0.376,0.47
0,0.334,0.342
1,0.584,0.76
1,0.562,0.246
0,0.172,0.268
1,0.452,0.394
0,0.508,0.256
0,0.654,0.674
0,0.668,0.646
1,0.39,0.488
0,0.366,0.288
1,0.552,0.206
1,0.59,0.51
0,0.24,0.432
1,0.58,0.2
1,0.638,0.422
0,0.184,0.328
1,0.472,0.584
1,0.458,0.358
1,0.59,0.754
1,0.452,0.372
1,0.624,0.5
0,0.22,0.378
0,0.416,0.284
0,0.758,0.378
0,0.794,0.454
1,0.604,0.358
0,0.144,0.294
1,0.522,0.232
1,0.626,0.398
0,0.6,0.72
0,0.628,0.704
0,0.352,0.326
1,0.552,0.778
0,0.732,0.378
0,0.338,0.306
0,0.792,0.448
0,0.234,0.398
0,0.822,0.518
0,0.662,0.338
0,0.47,0.498
1,0.6,0.486
0,0.72,0.624
0,0.22,0.382
0,0.722,0.332
1,0.488,0.378
0,0.252,0.448
0,0.254,0.45
0,0.79,0.49
0,0.56,0.124
0,0.708,0.666
1,0.598,0.27
1,0.436,0.586
1,0.578,0.366
1,0.412,0.398
1,0.624,0.578
1,0.632,0.5
0,0.602,0.3
0,0.294,0.41
0,0.636,0.286
1,0.372,0.522
1,0.374,0.516
0,0.604,0.682
1,0.44,0.366
1,0.566,0.214
0,0.604,0.7
0,0.258,0.454
0,0.488,0.494
1,0.554,0.624
0,0.88,0.57
1,0.394,0.554
1,0.438,0.606
1,0.388,0.496
0,0.662,0.25
0,0.686,0.288
0,0.818,0.5
0,0.704,0.284
1,0.33,0.228
0,0.772,0.428
0,0.704,0.342
1,0.53,0.64
1,0.394,0.526
1,0.386,0.498
0,0.194,0.354
0,0.14,0.252
0,0.778,0.462
0,0.626,0.698
1,0.376,0.472
0,0.42,0.29
1,0.642,0.492
0,0.454,0.7
1,0.622,0.772
0,0.206,0.362
1,0.388,0.438
1,0.616,0.476
0,0.148,0.246
1,0.466,0.352
1,0.524,0.212
0,0.372,0.324
1,0.54,0.816
1,0.428,0.602
1,0.41,0.586
1,0.596,0.37
1,0.582,0.37
0,0.242,0.422
1,0.622,0.412
0,0.204,0.37
1,0.544,0.204
0,0.152,0.28
1,0.472,0.622
1,0.378,0.514
1,0.378,0.53
0,0.528,0.272
1,0.592,0.58
0,0.474,0.506
1,0.452,0.608
0,0.226,0.438
1,0.34,0.236
0,0.752,0.4
1,0.516,0.624
0,0.768,0.406
1,0.614,0.5
0,0.426,0.262
1,0.616,0.558
1,0.576,0.25
0,0.526,0.128
1,0.372,0.518
1,0.366,0.466
1,0.578,0.79
1,0.394,0.582
1,0.602,0.782
1,0.582,0.762
1,0.36,0.22
0,0.186,0.29
1,0.536,0.79
1,0.482,0.372
0,0.81,0.482
1,0.578,0.776
0,0.484,0.472
1,0.606,0.58
0,0.454,0.81
0,0.444,0.7
1,0.622,0.404
0,0.86,0.602
1,0.464,0.364
0,0.746,0.53
1,0.566,0.604
1,0.604,0.526
1,0.614,0.546
0,0.618,0.258
0,0.716,0.334
0,0.696,0.61
1,0.33,0.242
1,0.366,0.542
1,0.614,0.492
0,0.514,0.5
1,0.646,0.422
1,0.55,0.24
1,0.392,0.212
0,0.644,0.66
1,0.574,0.23
0,0.214,0.47
1,0.544,0.788
1,0.382,0.22
1,0.418,0.368
1,0.534,0.638
0,0.218,0.42
0,0.304,0.364
0,0.15,0.296
1,0.372,0.586
1,0.492,0.624
1,0.608,0.476
1,0.5,0.348
0,0.268,0.478
1,0.33,0.256
0,0.582,0.702
1,0.534,0.35
1,0.398,0.474
1,0.44,0.604
0,0.38,0.742
1,0.37,0.448
1,0.498,0.392
1,0.556,0.776
0,0.168,0.294
0,0.286,0.482
0,0.544,0.286
1,0.416,0.202
0,0.504,0.516
1,0.546,0.224
1,0.324,0.26
1,0.364,0.536
0,0.41,0.288
1,0.588,0.78
0,0.584,0.728
1,0.576,0.242
0,0.492,0.494
0,0.278,0.528
1,0.592,0.758
0,0.826,0.516
1,0.386,0.446
0,0.846,0.548
0,0.802,0.458
1,0.414,0.386
0,0.784,0.428
0,0.414,0.284
1,0.568,0.614
0,0.664,0.626
0,0.67,0.306
1,0.42,0.368
1,0.292,0.272
1,0.49,0.362
0,0.606,0.292
0,0.694,0.344
1,0.594,0.756
1,0.604,0.498
1,0.458,0.342
0,0.734,0.39
0,0.474,0.468
0,0.356,0.304
0,0.43,0.272
1,0.446,0.368
0,0.504,0.752
0,0.394,0.284
0,0.244,0.474
1,0.612,0.542
1,0.63,0.486
1,0.628,0.462
0,0.388,0.708
1,0.568,0.626
1,0.568,0.252
0,0.686,0.62
1,0.554,0.76
1,0.526,0.624
0,0.232,0.438
1,0.41,0.24
0,0.636,0.276
0,0.194,0.314
0,0.148,0.23
0,0.726,0.592
1,0.56,0.77
1,0.632,0.576
0,0.7,0.534
0,0.816,0.522
0,0.682,0.646
0,0.752,0.356
0,0.228,0.424
0,0.598,0.274
1,0.588,0.802
1,0.536,0.384
0,0.166,0.288
0,0.602,0.31
0,0.836,0.546
0,0.56,0.148
0,0.496,0.26
1,0.602,0.458
1,0.616,0.562
0,0.716,0.328
0,0.81,0.514
1,0.586,0.632
0,0.748,0.416
1,0.588,0.554
0,0.504,0.514
0,0.698,0.316
0,0.712,0.324
0,0.724,0.418
0,0.492,0.5
1,0.582,0.378
0,0.762,0.374
1,0.3,0.272
1,0.392,0.558
1,0.634,0.418
0,0.502,0.28
1,0.626,0.51
1,0.57,0.808
0,0.32,0.346
1,0.526,0.226
1,0.382,0.222
1,0.444,0.628
1,0.63,0.506
1,0.374,0.464
1,0.33,0.234
1,0.38,0.462
1,0.488,0.352
0,0.498,0.72
1,0.598,0.588
1,0.542,0.596
1,0.554,0.614
0,0.67,0.638
1,0.604,0.764
0,0.652,0.356
0,0.162,0.236
0,0.736,0.378
1,0.626,0.406
