label,alpha,beta
0,0.392,0.416
1,0.738,0.596
1,0.512,0.432
1,0.57,0.238
0,0.468,0.646
0,0.382,0.472
1,0.316,0.648
1,0.532,0.254
1,0.504,0.502
1,0.742,0.52
1,0.346,0.296
0,0.666,0.314
1,0.282,0.636
1,0.452,0.508
1,0.396,0.712
1,0.56,0.24
0,0.614,0.582
0,0.634,0.378
1,0.74,0.56
1,0.49,0.45
1,0.678,0.674
1,0.712,0.588
1,0.56,0.494
1,0.752,0.53
0,0.668,0.404
0,0.636,0.556
1,0.724,0.614
1,0.76,0.54
1,0.524,0.476
0,0.712,0.264
1,0.484,0.51
1,0.762,0.532
1,0.512,0.238
0,0.65,0.432
1,0.302,0.616
1,0.78,0.392
1,0.272,0.632
0,0.566,0.364
1,0.452,0.75
0,0.78,0.156
0,0.39,0.614
0,0.374,0.556
0,0.628,0.374
1,0.302,0.632
0,0.358,0.45
0,0.364,0.572
1,0.526,0.532
1,0.742,0.536
0,0.418,0.642
1,0.502,0.748
1,0.38,0.68
1,0.47,0.474
1,0.776,0.458
0,0.65,0.46
0,0.59,0.38
1,0.26,0.57
0,0.644,0.448
1,0.706,0.64
1,0.334,0.612
1,0.734,0.55
1,0.758,0.59
1,0.83,0.218
1,0.456,0.71
1,0.406,0.71
1,0.56,0.54
1,0.698,0.662
1,0.756,0.58
1,0.74,0.544
0,0.43,0.644
0,0.76,0.234
0,0.66,0.47
1,0.472,0.522
1,0.84,0.244
0,0.648,0.354
0,0.326,0.482
1,0.43,0.522
0,0.762,0.226
1,0.376,0.706
1,0.762,0.444
0,0.356,0.446
1,0.798,0.386
0,0.61,0.374
0,0.34,0.462
1,0.424,0.742
0,0.75,0.208
1,0.346,0.736
1,0.466,0.474
1,0.524,0.476
1,0.706,0.644
1,0.386,0.69
1,0.616,0.692
1,0.44,0.716
1,0.432,0.732
1,0.746,0.55
1,0.794,0.348
0,0.732,0.254
0,0.73,0.246
0,0.414,0.61
0,0.57,0.326
1,0.45,0.482
1,0.766,0.514
1,0.694,0.654
1,0.532,0.48
1,0.278,0.568
1,0.282,0.614
1,0.298,0.624
1,0.7,0.612
1,0.52,0.412
1,0.324,0.66
1,0.382,0.736
0,0.71,0.538
1,0.748,0.506
1,0.274,0.496
1,0.786,0.456
0,0.51,0.678
0,0.762,0.232
1,0.714,0.642
1,0.612,0.234
0,0.738,0.212
1,0.334,0.696
0,0.378,0.396
0,0.618,0.408
0,0.534,0.396
1,0.536,0.234
1,0.326,0.678
1,0.376,0.692
1,0.748,0.414
1,0.324,0.634
0,0.37,0.37
1,0.39,0.718
1,0.462,0.264
1,0.308,0.642
0,0.666,0.558
1,0.412,0.72
1,0.556,0.736
1,0.704,0.604
1,0.542,0.47
1,0.534,0.46
1,0.6,0.726
1,0.538,0.23
0,0.642,0.598
1,0.302,0.632
1,0.726,0.654
1,0.384,0.698
0,0.36,0.49
1,0.876,0.198
1,0.284,0.614
1,0.4,0.74
0,0.536,0.674
1,0.282,0.538
0,0.36,0.552
0,0.684,0.52
1,0.726,0.57
0,0.588,0.394
1,0.666,0.706
1,0.388,0.708
0,0.428,0.38
0,0.372,0.614
1,0.764,0.502
1,0.728,0.584
1,0.804,0.408
1,0.448,0.462
1,0.27,0.604
1,0.712,0.63
1,0.582,0.528
1,0.548,0.48
0,0.79,0.196
1,0.352,0.688
0,0.362,0.508
0,0.562,0.33
0,0.46,0.376
0,0.588,0.596
1,0.604,0.244
0,0.498,0.672
0,0.648,0.36
0,0.568,0.646
1,0.448,0.458
1,0.384,0.26
1,0.276,0.69
1,0.782,0.524
1,0.594,0.726
1,0.508,0.468
1,0.502,0.74
0,0.638,0.546
0,0.338,0.39
1,0.716,0.604
0,0.52,0.638
0,0.596,0.34
1,0.762,0.594
1,0.72,0.6
1,0.53,0.468
1,0.444,0.702
0,0.416,0.576
1,0.402,0.734
1,0.582,0.224
1,0.764,0.528
1,0.51,0.458
1,0.55,0.234
1,0.634,0.71
0,0.348,0.448
1,0.344,0.726
0,0.772,0.198
0,0.544,0.324
0,0.308,0.464
1,0.494,0.526
0,0.696,0.246
1,0.68,0.642
0,0.394,0.39
1,0.546,0.492
0,0.352,0.594
0,0.652,0.57
0,0.53,0.672
1,0.75,0.602
1,0.334,0.69
1,0.78,0.514
1,0.496,0.442
0,0.416,0.562
0,0.672,0.308
1,0.292,0.512
1,0.52,0.494
1,0.64,0.708
1,0.688,0.642
1,0.756,0.482
1,0.776,0.38
1,0.776,0.432
1,0.442,0.504
1,0.438,0.71
1,0.444,0.486
1,0.776,0.512
1,0.286,0.582
1,0.542,0.532
1,0.852,0.244
1,0.73,0.578
1,0.326,0.646
1,0.53,0.246
1,0.33,0.686
1,0.268,0.486
1,0.342,0.27
0,0.578,0.636
1,0.842,0.23
0,0.616,0.352
1,0.506,0.704
1,0.56,0.494
1,0.526,0.532
0,0.546,0.644
1,0.374,0.72
1,0.45,0.716
0,0.73,0.49
1,0.512,0.744
1,0.534,0.482
1,0.656,0.71
1,0.3,0.614
0,0.396,0.332
1,0.75,0.454
1,0.608,0.706
1,0.444,0.714
1,0.54,0.54
0,0.344,0.522
0,0.346,0.556
1,0.35,0.71
1,0.736,0.588
1,0.866,0.216
1,0.516,0.454
1,0.638,0.698
1,0.514,0.242
1,0.416,0.474
1,0.414,0.244
1,0.288,0.63
1,0.344,0.684
1,0.496,0.252
1,0.39,0.282
1,0.326,0.646
1,0.78,0.388
1,0.464,0.236
1,0.712,0.514
1,0.26,0.544
1,0.798,0.412
1,0.69,0.628
1,0.54,0.518
1,0.29,0.544
1,0.774,0.41
1,0.712,0.608
1,0.36,0.674
1,0.32,0.67
1,0.392,0.724
1,0.744,0.598
1,0.756,0.558
0,0.772,0.218
1,0.494,0.534
1,0.748,0.384
1,0.498,0.454
1,0.778,0.52
1,0.468,0.56
1,0.254,0.574
1,0.474,0.538
0,0.758,0.23
1,0.506,0.524
0,0.572,0.672
0,0.604,0.382
1,0.298,0.56
0,0.618,0.626
1,0.464,0.262
1,0.49,0.462
1,0.546,0.55
0,0.63,0.634
1,0.53,0.71
1,0.312,0.606
1,0.32,0.608
0,0.698,0.296
1,0.72,0.58
0,0.536,0.288
1,0.77,0.42
1,0.458,0.736
0,0.546,0.634
1,0.334,0.324
0,0.652,0.6
1,0.552,0.45
1,0.47,0.742
1,0.334,0.692
1,0.748,0.544
1,0.364,0.696
1,0.712,0.614
1,0.482,0.518
1,0.78,0.426
1,0.768,0.53
0,0.412,0.602
1,0.324,0.676
0,0.43,0.62
0,0.58,0.706
1,0.402,0.292
0,0.4,0.576
0,0.77,0.202
1,0.55,0.506
1,0.346,0.682
1,0.382,0.718
0,0.694,0.54
1,0.4,0.282
1,0.39,0.68
1,0.416,0.516
1,0.642,0.706
1,0.286,0.632
1,0.332,0.634
1,0.41,0.712
1,0.71,0.622
1,0.74,0.568
1,0.32,0.66
1,0.376,0.696
0,0.584,0.642
0,0.812,0.176
1,0.488,0.546
0,0.676,0.308
1,0.29,0.658
1,0.448,0.518
1,0.698,0.598
1,0.752,0.554
1,0.478,0.466
1,0.498,0.548
0,0.348,0.542
0,0.802,0.178
1,0.782,0.406
0,0.522,0.666
1,0.474,0.456
1,0.508,0.468
1,0.826,0.258
1,0.726,0.596
0,0.552,0.328
1,0.472,0.48
1,0.754,0.562
1,0.54,0.566
0,0.722,0.252
0,0.376,0.434
0,0.5,0.658
1,0.286,0.61
0,0.522,0.632
0,0.558,0.654
1,0.278,0.518
1,0.754,0.486
1,0.28,0.58
1,0.488,0.542
0,0.45,0.342
0,0.51,0.338
1,0.434,0.702
1,0.392,0.71
0,0.606,0.358
1,0.47,0.732
1,0.566,0.71
1,0.346,0.688
1,0.76,0.556
1,0.7,0.63
0,0.678,0.27
1,0.29,0.516
1,0.532,0.746
0,0.606,0.628
0,0.346,0.454
1,0.312,0.692
1,0.78,0.348
1,0.304,0.636
0,0.474,0.638
1,0.468,0.528
1,0.754,0.512
1,0.318,0.654
1,0.61,0.232
0,0.736,0.236
1,0.504,0.24
1,0.492,0.44
1,0.3,0.62
0,0.396,0.388
1,0.434,0.706
0,0.618,0.622
1,0.278,0.432
1,0.532,0.482
0,0.386,0.408
1,0.292,0.634
0,0.614,0.644
1,0.474,0.486
1,0.722,0.61
1,0.738,0.59
1,0.386,0.284
0,0.438,0.302
1,0.724,0.618
1,0.37,0.702
1,0.382,0.254
1,0.536,0.728
1,0.53,0.74
1,0.664,0.672
1,0.292,0.62
1,0.514,0.51
1,0.336,0.656
1,0.51,0.474
0,0.352,0.582
1,0.298,0.572
1,0.516,0.45
1,0.558,0.21
1,0.648,0.69
1,0.338,0.698
1,0.71,0.53
1,0.444,0.734
1,0.748,0.514
1,0.266,0.634
1,0.712,0.564
1,0.666,0.7
1,0.688,0.648
1,0.626,0.214
0,0.332,0.506
0,0.66,0.494
0,0.762,0.216
1,0.764,0.498
0,0.442,0.658
1,0.454,0.482
0,0.366,0.558
0,0.492,0.642
1,0.514,0.536
1,0.858,0.236
1,0.296,0.642
1,0.52,0.506
0,0.574,0.356
0,0.392,0.346
1,0.724,0.6
1,0.552,0.488
