label,alpha,beta
1,0.864,0.904
0,0.64,0.188
1,0.914,0.212
0,0.276,0.384
1,0.688,0.684
1,0.706,0.82
1,0.88,0.258
0,0.414,0.1
1,0.988,0.724
1,0.428,0.492
0,0.15,0.344
1,0.708,0.612
0,0.38,0.486
0,0.226,0.44
0,0.49,0.234
0,0.236,0.556
1,0.442,0.612
1,0.772,0.812
1,0.764,0.828
0,0.46,0.26
1,0.282,0.746
0,0.136,0.288
0,0.8,0.046
0,0.286,0.098
1,0.532,0.568
1,0.418,0.536
1,0.408,0.68
1,0.366,0.866
1,0.9,0.1
0,0.054,0.534
0,0.282,0.216
0,0.154,0.466
1,0.774,0.846
0,0.496,0.236
1,0.438,0.956
1,0.884,0.04
1,0.64,0.772
0,0.192,0.61
0,0.378,0.078
1,0.83,0.194
0,0.044,0.472
1,0.898,0.19
0,0.11,0.076
1,0.518,0.558
0,0.338,0.222
1,0.686,0.736
1,0.394,0.698
1,0.658,0.572
1,0.976,0.202
0,0.346,0.122
1,0.916,0.448
1,0.764,0.776
0,0.678,0.102
0,0.692,0.076
0,0.202,0.6
1,0.494,0.602
1,0.416,0.798
1,0.164,0.98
0,0.57,0.086
1,0.942,0.576
0,0.256,0.28
0,0.258,0.062
0,0.376,0.138
1,0.526,0.656
0,0.118,0.03
1,0.988,0.752
1,0.53,0.882
0,0.432,0.058
1,0.944,0.444
1,0.59,0.734
1,0.6,0.502
0,0.482,0.228
1,0.776,0.778
1,0.754,0.706
1,0.798,0.502
0,0.288,0.248
1,0.906,0.93
1,0.202,0.894
1,0.762,0.674
0,0.432,0.054
1,0.942,0.484
1,0.844,0.582
1,0.684,0.902
0,0.306,0.514
1,0.514,0.824
1,0.304,0.786
1,0.162,0.792
0,0.608,0.188
1,0.9,0.17
0,0.446,0.166
0,0.034,0.918
1,0.818,0.464
1,0.492,0.686
1,0.784,0.658
1,0.77,0.314
1,0.502,0.486
0,0.186,0.192
1,0.724,0.62
1,0.928,0.608
1,0.534,0.868
1,0.234,0.648
1,0.554,0.814
1,0.482,0.686
1,0.732,0.902
1,0.306,0.582
1,0.914,0.67
1,0.738,0.526
0,0.58,0.194
1,0.518,0.804
1,0.43,0.766
0,0.25,0.59
0,0.506,0.282
1,0.832,0.488
1,0.478,0.578
0,0.938,0.034
1,0.264,0.808
0,0.054,0.894
0,0.094,0.264
0,0.882,0.124
1,0.642,0.608
0,0.156,0.828
0,0.522,0.14
1,0.974,0.264
1,0.638,0.856
1,0.588,0.768
1,0.88,0.18
1,0.606,0.422
1,0.418,0.546
0,0.156,0.612
0,0.05,0.176
0,0.382,0.234
1,0.898,0.676
1,0.756,0.67
1,0.684,0.6
1,0.996,0.764
1,0.572,0.456
0,0.662,0.064
1,0.742,0.716
1,0.844,0.302
0,0.23,0.172
1,0.462,0.578
1,0.708,0.766
1,0.84,0.2
1,0.672,0.678
1,0.3,0.77
0,0.44,0.07
1,0.892,0.632
1,0.494,0.536
1,0.796,0.596
1,0.872,0.92
1,0.668,0.748
1,0.966,0.2
0,0.542,0.24
1,0.624,0.53
1,0.722,0.64
1,0.936,0.578
0,0.86,0.1
1,0.492,0.378
0,0.188,0.342
1,0.378,0.702
0,0.272,0.532
1,0.71,0.726
1,0.586,0.948
1,0.694,0.798
0,0.042,0.876
0,0.336,0.354
1,0.34,0.82
1,0.912,0.634
0,0.452,0.336
0,0.094,0.73
1,0.846,0.416
1,0.882,0.962
1,0.888,0.862
1,0.362,0.742
0,0.488,0.234
1,0.862,0.542
1,0.926,0.476
1,0.922,0.666
1,0.466,0.6
0,0.276,0.38
0,0.002,0.886
1,0.208,0.966
1,0.418,0.7
1,0.856,0.898
1,0.272,0.772
1,0.496,0.952
0,0.56,0.21
1,0.762,0.834
1,0.542,0.5
1,0.926,0.6
1,0.588,0.73
0,0.334,0.36
1,0.558,0.4
1,0.676,0.704
1,0.678,0.5
0,0.298,0.052
1,0.734,0.854
1,0.766,0.826
0,0.032,0.488
0,0.362,0.238
1,0.556,0.804
1,0.886,0.186
1,0.524,0.628
1,0.864,0.098
1,0.76,0.496
0,0.1,0.094
1,0.95,0.594
1,0.682,0.906
1,0.888,0.472
1,0.678,0.728
1,0.876,0.606
1,0.622,0.604
1,0.904,0.38
1,0.9,0.224
0,0.452,0.12
0,0.142,0.654
1,0.588,0.848
1,0.81,0.876
1,0.936,0.178
0,0.31,0.098
1,0.594,0.848
1,0.354,0.906
1,0.428,0.686
1,0.886,0.638
1,0.714,0.784
0,0.232,0.544
0,0.43,0.102
1,0.818,0.822
0,0.104,0.352
1,0.604,0.376
1,0.91,0.514
1,0.822,0.674
0,0.556,0.128
1,0.742,0.392
0,0.546,0.056
1,0.522,0.768
0,0.5,0.182
1,0.664,0.664
0,0.16,0.218
1,0.754,0.322
1,0.574,0.428
1,0.874,0.434
1,0.788,0.68
0,0.936,0.006
0,0.522,0.218
1,0.986,0.826
1,0.682,0.75
1,0.832,0.17
1,0.588,0.636
1,0.846,0.656
1,0.872,0.926
0,0.066,0.866
1,0.358,0.684
1,0.642,0.406
1,0.776,0.778
0,0.224,0.264
0,0.45,0.27
1,0.76,0.698
1,0.774,0.732
0,0.26,0.63
1,0.488,0.764
0,0.044,0.08
0,0.392,0.156
0,0.19,0.686
1,0.306,0.952
1,0.464,0.854
1,0.426,0.652
1,0.302,0.738
0,0.224,0.532
1,0.422,0.926
0,0.192,0.272
0,0.504,0.338
1,0.476,0.822
0,0.048,0.866
0,0.142,0.226
0,0.536,0.316
0,0.83,0.124
1,0.264,0.9
1,0.65,0.44
1,0.788,0.668
1,0.742,0.872
0,0.082,0.346
1,0.606,0.468
1,0.924,0.486
1,0.8,0.788
0,0.074,0.298
0,0.008,0.856
0,0.112,0.624
1,0.524,0.58
1,0.792,0.298
1,0.79,0.628
0,0.312,0.196
0,0.604,0.142
1,0.968,0.688
1,0.816,0.394
0,0.38,0.304
1,0.796,0.806
0,0.144,0.452
1,0.566,0.508
1,0.744,0.732
0,0.938,0.032
1,0.918,0.802
1,0.668,0.728
1,0.594,0.994
1,0.82,0.57
1,0.444,0.664
0,0.122,0.902
1,0.92,0.616
1,0.946,0.824
1,0.544,0.714
0,0.192,0.042
1,0.598,0.55
0,0.33,0.126
1,0.766,0.734
0,0.378,0.024
1,0.966,0.354
1,0.804,0.764
1,0.398,0.88
0,0.246,0.474
0,0.906,0.054
0,0.252,0.53
1,0.47,0.598
1,0.434,0.85
0,0.058,0.562
1,0.57,0.924
1,0.862,0.224
1,0.828,1
1,0.552,0.628
0,0.032,0.844
0,0.222,0.264
1,0.962,0.76
1,0.808,0.678
1,0.56,0.448
0,0.37,0.44
0,0.024,0.552
1,0.354,0.71
1,0.46,0.806
1,0.736,0.81
1,0.374,0.746
0,0.504,0.286
1,0.654,0.522
0,0.33,0.394
1,0.222,0.816
1,0.636,0.86
1,0.45,0.932
1,0.572,0.946
1,0.64,0.62
0,0.716,0.076
0,0.538,0.228
1,0.13,0.974
1,0.91,0.81
1,0.534,0.438
0,0.384,0.636
1,0.402,0.886
0,0.28,0.508
0,0.072,0.806
1,0.434,0.958
0,0.73,0.066
0,0.966,0.096
1,0.928,0.248
0,0.228,0.792
1,0.546,0.462
1,0.55,0.394
1,0.388,0.736
0,0.07,0.148
0,0.348,0.382
1,0.514,0.546
0,0.604,0.192
1,0.62,0.934
0,0.238,0.644
0,0.14,0.532
1,0.522,0.484
0,0.664,0.092
0,0.074,0.08
1,0.308,0.58
0,0.014,0.926
0,0.376,0.034
1,0.722,0.474
0,0.314,0.528
0,0.096,0.032
0,0.566,0.166
0,0.146,0.034
1,0.97,0.648
0,0.282,0.494
1,0.374,0.612
0,0.302,0.436
1,0.268,0.732
0,0.29,0.18
1,0.548,0.622
0,0.51,0.178
1,0.354,0.634
1,0.548,0.858
1,0.94,0.862
1,0.938,0.468
1,0.518,0.67
1,0.37,0.844
1,0.788,0.788
1,0.966,0.642
1,0.636,0.844
0,0.162,0.666
1,0.57,0.848
1,0.5,0.556
1,0.964,0.3
1,0.946,0.976
0,0.55,0.11
1,0.98,0.334
0,0.974,0.128
1,0.518,0.822
1,0.8,0.878
1,0.678,0.93
1,0.746,0.66
0,0.934,0.09
1,0.972,0.332
1,0.844,0.83
0,0.524,0.148
0,0.814,0.002
0,0.806,0.08
0,0.726,0.088
0,0.59,0.094
0,0.362,0.15
1,0.594,0.64
1,0.308,0.84
1,0.38,0.648
0,0.324,0.048
0,0.056,0.608
1,0.904,0.816
0,0.164,0.362
0,0.906,0.048
0,0.598,0.176
1,0.302,0.792
1,0.958,0.716
0,0.038,0.144
0,0.682,0.122
1,0.618,0.42
1,0.67,0.348
1,0.744,0.896
0,0.288,0.652
1,0.57,0.61
1,0.408,0.576
1,0.554,0.412
1,0.376,0.896
1,0.992,0.602
1,0.306,0.73
1,0.732,0.584
1,0.386,0.876
0,0.12,0.298
1,0.41,0.832
0,0.188,0.516
1,0.864,0.944
1,0.686,0.744
1,0.692,0.354
1,0.322,0.872
0,0,0.928
1,0.34,0.63
0,0.802,0.096
0,0.436,0.368
0,0.446,0.294
0,0.294,0.252
1,0.874,0.864
1,0.882,0.82
1,0.908,0.382
1,0.452,0.398
1,0.922,0.636
0,0.32,0.168
0,0.334,0.186
0,0.14,0.786
1,0.954,0.354
1,0.668,0.548
1,0.74,0.846
0,0.362,0.122
1,0.318,0.87
1,0.338,0.95
1,0.694,0.518
1,0.902,0.692
0,0.774,0.002
1,0.71,0.454
0,0.26,0.134
0,0.41,0.144
0,0.018,0.886
1,0.376,0.804
1,0.642,0.442
0,0.25,0.522
1,0.878,0.542
1,0.864,0.97
0,0.112,0.456
0,0.272,0.206
1,0.718,0.918
1,0.31,0.718
1,0.402,0.76
0,0.158,0.724
1,0.59,0.938
1,0.346,0.672
0,0.85,0.064
1,0.872,0.908
1,0.49,0.566
0,0.232,0.564
1,0.378,0.854
1,0.976,0.288
1,0.764,0.322
1,0.982,0.842
1,0.446,0.774
0,0.374,0.188
0,0.844,0.064
0,0.742,0.086
0,0.174,0.402
1,0.63,0.934
1,0.424,0.532
1,0.666,0.508
1,0.984,0.954
0,0.078,0.06
1,0.46,0.616
1,0.598,0.574
0,0.14,0.116
1,0.17,0.874
1,0.89,0.82
0,0.106,0.462
0,0.598,0.16
0,0.056,0.62
1,0.524,0.904
0,0.186,0.658
0,0.006,0.838
0,0.054,0.896
1,0.858,0.968
1,0.836,0.484
1,0.61,0.492
1,0.728,0.846
1,0.864,0.67
1,0.936,0.962
0,0.054,0.208
1,0.766,0.868
1,0.586,0.608
0,0.306,0.24
1,0.318,0.612
1,0.688,0.944
1,0.276,0.86
1,0.936,0.708
1,0.63,0.48
0,0.826,0.044
0,0.572,0.202
1,0.51,0.59
1,0.86,0.51
1,0.726,0.82
0,0.214,0.606
0,0.466,0.002
0,0.372,0.14
1,0.482,0.544
0,0.082,0.522
1,0.802,0.758
1,0.332,0.62
0,0.352,0.402
0,0.54,0.17
1,0.984,0.696
1,0.738,0.744
1,0.458,0.548
1,0.492,0.896
0,0.246,0.286
1,0.656,0.376
1,0.628,0.832
1,0.87,0.772
1,0.706,0.898
1,0.44,0.708
1,0.626,0.972
1,0.41,0.778
1,0.93,0.706
1,0.626,0.986
1,0.524,0.654
1,0.65,0.848
1,0.332,0.914
1,0.51,0.904
1,0.836,0.714
1,0.752,0.862
1,0.54,0.622
0,0.164,0.536
1,0.876,0.302
1,0.366,0.886
0,0.312,0.254
1,0.788,0.952
0,0.084,0.584
1,0.372,0.466
1,0.982,0.808
1,0.802,0.244
1,0.736,0.448
1,0.496,0.462
1,0.936,0.394
1,0.698,0.436
0,0.314,0.406
0,0.316,0.26
0,0.252,0.522
1,0.432,0.6
1,0.936,0.982
1,0.678,0.872
1,0.928,0.718
1,0.868,0.344
0,0.224,0.63
1,0.93,0.34
1,0.75,0.858
1,0.298,0.71
0,0.182,0.58
1,0.718,0.43
1,0.552,0.928
1,0.472,0.582
0,0.182,0.238
1,0.926,0.692
1,0.686,0.434
1,0.738,0.828
0,0.152,0.47
0,0.204,0.132
1,0.496,0.374
1,0.984,0.864
0,0.222,0.37
1,0.826,0.532
0,0.616,0.084
1,0.27,0.712
1,0.78,0.192
1,0.414,0.918
1,0.584,0.986
1,0.49,0.578
1,0.976,0.44
1,0.632,0.748
1,0.492,0.518
1,0.424,0.684
0,0.006,0.906
1,0.478,0.538
0,0.294,0.556
1,0.924,0.686
1,0.856,0.962
